City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
3,Narrabri,AU,80.53,scattered clouds,-30.3167,149.7833,Crossroads Hotel
6,Saint-Philippe,RE,80.15,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
14,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
17,Palu,ID,88.5,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
24,Bodden Town,KY,77.0,few clouds,19.2833,-81.25,Will T Place
25,Rikitea,PF,78.22,light rain,-23.1203,-134.9692,People ThankYou
26,Miri,MY,86.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
30,Gladstone,AU,84.13,overcast clouds,-23.85,151.25,Highpoint International Hotel
36,Butaritari,KI,81.79,light rain,3.0707,172.7902,Isles Sunset Lodge
41,Nueva Concepcion,GT,79.47,few clouds,14.2,-91.3,Hotel Villa Las Flores
45,Cidreira,BR,75.52,overcast clouds,-30.1811,-50.2056,Hotel Castelo
48,Vaini,TO,86.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
50,Ocho Rios,JM,78.55,few clouds,18.4025,-77.1048,Rooms Ocho Rios Hotel
58,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
65,Kahului,US,79.86,clear sky,20.8947,-156.47,Maui Seaside Hotel
66,Esperance,AU,85.84,clear sky,-33.8667,121.9,Hospitality Esperance
67,Makakilo City,US,79.12,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
71,Mogadishu,SO,75.07,few clouds,2.0371,45.3438,Hotel Juba
72,Kapaa,US,75.52,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
85,Atuona,PF,78.96,clear sky,-9.8,-139.0333,Villa Enata
92,Lorengau,PG,84.43,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
95,Padang,ID,84.25,broken clouds,-0.9492,100.3543,Mercure Padang
98,Kawalu,ID,88.75,scattered clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
99,Metro,ID,84.2,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
105,Puerto Ayora,EC,75.54,clear sky,-0.7393,-90.3518,Finch Bay Galapagos Hotel
112,Hambantota,LK,80.94,few clouds,6.1241,81.1185,Bungalow 63
114,Bathsheba,BB,75.81,few clouds,13.2167,-59.5167,Atlantis Hotel
115,Hobart,AU,75.02,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
116,Manggar,ID,85.41,scattered clouds,-2.8833,108.2667,Guest Hotel
118,Isangel,VU,86.11,moderate rain,-19.55,169.2667,Tanna Lodge
124,Marovoay,MG,78.94,overcast clouds,-16.1,46.6333,Hôtel les Oliviers Marovoay
125,Nacala,MZ,76.8,overcast clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
126,Eltham,NZ,76.69,scattered clouds,-39.4292,174.3,Stonewall House Bed & Breakfast
127,Kandrian,PG,89.11,broken clouds,-6.2167,149.55,Kandrian Station
134,Arraial Do Cabo,BR,75.45,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
138,Bowen,AU,82.62,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
153,Rajapalaiyam,IN,80.06,clear sky,9.45,77.5667,Hotel Amil
156,Yaan,NG,75.31,clear sky,7.3833,8.5667,
159,Svay Rieng,KH,87.19,broken clouds,11.0879,105.7993,Apsara guesthouse
161,Port Macquarie,AU,75.88,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
166,Ahuimanu,US,80.31,few clouds,21.4447,-157.8378,Paradise Bay Resort
171,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
173,Itarema,BR,77.58,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
185,Waingapu,ID,87.78,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
187,Sarangani,PH,79.56,moderate rain,5.4033,125.4636,Ballistic Islet
188,Srivardhan,IN,76.5,broken clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
195,Bengkulu,ID,80.4,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
200,Los Algarrobos,PA,77.41,scattered clouds,8.5,-82.4333,Waterfall Hostel
207,Pedernales,DO,75.79,clear sky,18.0384,-71.744,Hotel Costa Marina
215,Moerai,PF,79.47,overcast clouds,-22.4333,-151.3333,Le Manotel
217,Boa Vista,BR,82.38,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
223,Carmen,MX,77.38,clear sky,18.6333,-91.8333,Hotel Lossandes
235,Pitimbu,BR,79.39,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
237,Atambua,ID,80.29,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
239,Cayenne,GF,79.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
242,Grand Gaube,MU,81.37,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
244,Farafangana,MG,76.98,light rain,-22.8167,47.8333,Miarina
253,Hithadhoo,MV,81.73,overcast clouds,-0.6,73.0833,Scoop Guest House
255,Port Augusta,AU,85.71,clear sky,-32.5,137.7667,Majestic Oasis Apartments
256,Maningrida,AU,87.46,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
260,Tabou,CI,77.47,light rain,4.423,-7.3528,hotêl doufoulougou
266,Acapulco,MX,78.62,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
268,Marang,MY,82.31,overcast clouds,5.2056,103.2059,DBarakah Homestay
273,Kaeo,NZ,78.33,overcast clouds,-35.1,173.7833,Bushido Lodge
280,Faanui,PF,81.32,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
281,Mumford,GH,78.44,light rain,5.2618,-0.759,Spanish Villa
284,Saint-Georges,GD,76.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
286,Banjar,ID,80.46,overcast clouds,-8.19,114.9675,The Hamsa Resort
288,Alice Springs,AU,78.35,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
292,Mackay,AU,81.68,broken clouds,-21.15,149.2,International Lodge Motel
296,Harper,LR,77.18,light rain,4.375,-7.7169,Screensaver
298,Kavieng,PG,83.73,broken clouds,-2.5744,150.7967,Nusa Island Retreat
304,Luwuk,ID,88.97,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
308,New Plymouth,NZ,78.57,scattered clouds,-39.0667,174.0833,Belt Road Seaside Holiday Park
309,Conde,BR,78.26,few clouds,-7.2597,-34.9075,Pousada Beija Flor
312,Bac Lieu,VN,86.16,few clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
313,Port-Gentil,GA,79.54,overcast clouds,-0.7193,8.7815,Fengshui Residence
314,Neiafu,TO,81.28,light intensity shower rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
315,Yulara,AU,80.44,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
316,Gigmoto,PH,78.17,heavy intensity rain,13.7796,124.39,Cj's Travellers Inn
317,Lufilufi,WS,83.98,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
320,Bambous Virieux,MU,81.21,light rain,-20.3428,57.7575,Casa Tia Villa
323,Mahebourg,MU,81.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
324,Xai-Xai,MZ,75.72,clear sky,-25.0519,33.6442,Complexo da Familia
325,Cabedelo,BR,79.47,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
326,Pozo Colorado,PY,81.88,moderate rain,-23.4923,-58.7972,Hospedaje la Amistad
327,Aitape,PG,85.24,scattered clouds,-3.1374,142.3475,
340,Cururupu,BR,75.0,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
344,Sinnamary,GF,76.26,heavy intensity rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
357,Gizo,SB,82.33,overcast clouds,-8.103,156.8419,Imagination Island
372,Port Maria,JM,78.76,few clouds,18.3685,-76.8895,Galina Breeze Hotel
377,Moranbah,AU,86.2,overcast clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
379,Limbang,MY,87.91,overcast clouds,4.75,115.0,Purnama Hotel
392,Matara,LK,81.55,clear sky,5.9485,80.5353,Amaloh Boutique Resort
404,Tabuk,PH,79.36,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
405,Trincomalee,LK,77.41,clear sky,8.5711,81.2335,Welcombe Hotel
407,Bambanglipuro,ID,77.61,overcast clouds,-7.95,110.2833,Puri Brata
424,Saiha,IN,75.29,clear sky,22.4833,92.9667,"Circuit House, Siaha"
425,Morondava,MG,79.23,scattered clouds,-20.2833,44.2833,La Case Bambou
430,Vila Velha,BR,75.15,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
432,Salinopolis,BR,78.6,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
444,Mount Isa,AU,85.77,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
456,Alofi,NU,75.09,light intensity shower rain,-19.0595,-169.9187,Taloa Heights
458,Karwar,IN,76.23,scattered clouds,14.8,74.1333,Netalco Connects
464,Quatre Cocos,MU,81.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
466,Kavaratti,IN,79.18,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
473,Beloha,MG,75.33,clear sky,-25.1667,45.05,
476,Kefamenanu,ID,83.95,broken clouds,-9.4467,124.4781,Sokowindo Losmen
481,Souillac,MU,81.36,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
482,Namatanai,PG,84.43,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
483,Merauke,ID,85.06,overcast clouds,-8.4667,140.3333,
494,Galle,LK,80.06,clear sky,6.0367,80.217,Amangalla
495,Finschhafen,PG,86.61,overcast clouds,-6.6024,147.8681,Cossam Guest House
496,Maceio,BR,76.44,few clouds,-9.6658,-35.7353,Poutur Pousada
497,Paka,MY,82.33,scattered clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
501,Kununurra,AU,89.58,scattered clouds,-15.7667,128.7333,Hotel Kununurra
504,Santa Fe,AR,75.02,clear sky,-31.6333,-60.7,Conquistador Hotel
511,Dicabisagan,PH,78.6,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
512,Coruripe,BR,77.54,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
516,Key West,US,75.0,broken clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
520,Hobyo,SO,75.36,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
521,Flinders,AU,76.37,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
523,Maragogi,BR,78.12,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
524,Touros,BR,79.7,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
526,Puerto Escondido,MX,76.03,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
532,Vanimo,PG,85.46,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
538,Santiago Del Estero,AR,78.22,scattered clouds,-27.7951,-64.2615,Apartamentos Castelli 90
547,Iquitos,PE,75.24,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
551,Launceston,AU,77.61,clear sky,-41.45,147.1667,Hotel Grand Chancellor Launceston
554,Meulaboh,ID,84.0,overcast clouds,4.1363,96.1285,Kost Pria
568,Oistins,BB,75.29,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
569,Amuntai,ID,82.27,overcast clouds,-2.4177,115.2494,Hotel Balqis
570,Sulangan,PH,77.74,overcast clouds,11.1373,123.7228,Maia's Beach Resort
574,Inhambane,MZ,75.18,scattered clouds,-23.865,35.3833,Oceano
575,Dingle,PH,80.22,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
