City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Albany,US,42.6001,-73.9662,37.47,91,100,3.0,snow
1,Tasiilaq,GL,65.6145,-37.6368,12.36,58,83,5.75,broken clouds
2,Ostrovnoy,RU,68.0531,39.5131,8.62,96,100,5.21,overcast clouds
3,Narrabri,AU,-30.3167,149.7833,80.53,38,37,19.57,scattered clouds
4,Saskylakh,RU,71.9167,114.0833,-14.08,98,100,2.1,overcast clouds
5,Coahuayana,MX,18.7333,-103.6833,67.19,78,26,4.05,scattered clouds
6,Saint-Philippe,RE,-21.3585,55.7679,80.15,92,100,32.3,moderate rain
7,Vostok,RU,46.4856,135.8833,2.3,84,99,6.04,overcast clouds
8,Cape Town,ZA,-33.9258,18.4232,61.88,72,0,3.0,clear sky
9,Saint George,US,37.1041,-113.5841,40.24,32,0,3.0,clear sky
10,Hamburg,DE,53.55,10.0,44.46,94,75,11.5,broken clouds
11,Nsanje,MW,-16.92,35.262,72.55,87,76,0.56,broken clouds
12,Lompoc,US,34.6391,-120.4579,53.92,80,0,0.0,clear sky
13,Dikson,RU,73.5069,80.5464,-8.03,95,100,4.81,overcast clouds
14,Port Blair,IN,11.6667,92.75,80.64,74,20,9.22,mist
15,Bulgan,MN,48.8125,103.5347,8.42,69,97,1.59,overcast clouds
16,Narsaq,GL,60.9167,-46.05,25.02,96,100,9.31,snow
17,Palu,ID,-0.8917,119.8707,88.5,57,100,4.43,overcast clouds
18,Nome,US,64.5011,-165.4064,6.87,51,0,29.93,clear sky
19,Mukhen,RU,48.1,136.1,5.31,81,99,5.17,overcast clouds
20,Svetlyy,RU,54.675,20.1347,33.85,98,100,10.38,overcast clouds
21,Wanaka,NZ,-44.7,169.15,53.11,93,100,1.99,moderate rain
22,Abu Samrah,SY,35.3029,37.1841,42.76,94,99,2.53,overcast clouds
23,Hermanus,ZA,-34.4187,19.2345,60.91,72,93,9.89,overcast clouds
24,Bodden Town,KY,19.2833,-81.25,77.0,85,20,4.0,few clouds
25,Rikitea,PF,-23.1203,-134.9692,78.22,74,100,17.02,light rain
26,Miri,MY,4.4148,114.0089,86.14,79,40,9.22,scattered clouds
27,Laguna,US,38.421,-121.4238,52.32,71,0,0.0,clear sky
28,Punta Arenas,CL,-53.15,-70.9167,42.91,61,75,10.36,broken clouds
29,Cherskiy,RU,68.75,161.3,-30.35,99,13,2.53,few clouds
30,Gladstone,AU,-23.85,151.25,84.13,58,100,12.66,overcast clouds
31,Kisangani,CD,0.5167,25.2,67.89,96,100,2.37,overcast clouds
32,Huangpu,CN,25.4433,113.1747,43.3,81,95,5.19,overcast clouds
33,Jamestown,US,42.097,-79.2353,22.08,69,100,5.01,snow
34,Yellowknife,CA,62.456,-114.3525,-28.44,75,0,5.75,clear sky
35,Grindavik,IS,63.8424,-22.4338,28.35,74,40,23.02,scattered clouds
36,Butaritari,KI,3.0707,172.7902,81.79,77,17,15.19,light rain
37,Oranjemund,NA,-28.55,16.4333,63.23,82,3,19.75,clear sky
38,Shimoda,JP,34.6667,138.95,46.76,62,100,2.77,overcast clouds
39,Port Elizabeth,ZA,-33.918,25.5701,66.49,77,0,12.66,clear sky
40,Dunedin,NZ,-45.8742,170.5036,50.72,96,100,5.5,light rain
41,Nueva Concepcion,GT,14.2,-91.3,79.47,79,20,2.17,few clouds
42,Tuatapere,NZ,-46.1333,167.6833,52.83,91,100,4.23,overcast clouds
43,Esso,RU,55.9333,158.7,16.52,92,100,0.49,overcast clouds
44,East London,ZA,-33.0153,27.9116,67.14,82,0,10.36,clear sky
45,Cidreira,BR,-30.1811,-50.2056,75.52,90,88,20.33,overcast clouds
46,Trelew,AR,-43.249,-65.3051,72.64,48,100,6.69,overcast clouds
47,Torbay,CA,47.6666,-52.7314,38.75,90,100,24.16,overcast clouds
48,Vaini,TO,-21.2,-175.2,86.16,79,75,10.36,broken clouds
49,Ushuaia,AR,-54.8,-68.3,42.46,70,75,18.41,broken clouds
50,Ocho Rios,JM,18.4025,-77.1048,78.55,83,21,10.16,few clouds
51,Airai,TL,-8.9266,125.4092,73.83,61,78,5.08,broken clouds
52,Belyy Yar,RU,53.6039,91.3903,-14.91,76,40,2.24,fog
53,Barrow,US,71.2906,-156.7887,-25.58,91,100,0.0,mist
54,Oksfjord,NO,70.2396,22.3479,16.72,93,73,18.43,broken clouds
55,Mataura,NZ,-46.1927,168.8643,52.48,99,100,2.26,light rain
56,Olafsvik,IS,64.8945,-23.7142,27.55,74,93,25.86,overcast clouds
57,Rio Claro,BR,-22.4114,-47.5614,73.4,95,99,2.75,overcast clouds
58,Avarua,CK,-21.2078,-159.775,82.45,78,20,19.57,few clouds
59,Doume,CM,4.2333,13.45,63.43,57,77,2.91,broken clouds
