City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2022-02-01 01:03:30,-54.8,-68.3,40.66,87,75,17.27
1,Shakawe,BW,2022-02-01 01:03:31,-18.3667,21.85,65.59,96,99,5.35
2,Monterey,US,2022-02-01 01:03:31,36.2505,-121.2516,52.09,1,100,6.35
3,Thompson,CA,2022-02-01 01:03:31,55.7435,-97.8558,1.56,78,100,5.75
4,Srednekolymsk,RU,2022-02-01 01:03:32,67.45,153.6833,-13.0,90,100,3.65
5,Provideniya,RU,2022-02-01 00:56:33,64.3833,-173.3,6.91,66,75,22.37
6,Punta Arenas,CL,2022-02-01 01:03:32,-53.15,-70.9167,46.51,76,75,14.97
7,Hami,CN,2022-02-01 01:03:33,42.8,93.45,19.31,40,8,1.52
8,Hobart,AU,2022-02-01 01:03:33,-42.8794,147.3294,82.26,41,40,7.0
9,Kashi,CN,2022-02-01 01:03:34,39.4547,75.9797,26.26,50,100,1.83
10,Narsaq,GL,2022-02-01 01:03:34,60.9167,-46.05,26.82,89,100,5.79
11,Kodiak,US,2022-02-01 01:01:57,57.79,-152.4072,29.71,86,100,5.75
12,San Policarpo,PH,2022-02-01 01:03:35,12.1791,125.5072,80.44,82,18,11.01
13,Carnarvon,AU,2022-02-01 01:03:35,-24.8667,113.6333,86.07,58,3,16.11
14,Avarua,CK,2022-02-01 01:03:35,-21.2078,-159.775,75.25,94,75,6.91
15,Olafsvik,IS,2022-02-01 00:55:22,64.8945,-23.7142,24.73,78,73,17.13
16,Lebu,CL,2022-02-01 01:03:36,-37.6167,-73.65,57.7,76,0,17.05
17,Airai,TL,2022-02-01 01:03:36,-8.9266,125.4092,70.12,63,52,6.2
18,Shingu,JP,2022-02-01 00:54:10,33.7333,135.9833,44.91,44,3,5.77
19,Chokurdakh,RU,2022-02-01 01:03:37,70.6333,147.9167,-14.03,95,100,1.74
20,Fortuna,US,2022-02-01 01:03:18,40.5982,-124.1573,50.18,76,40,3.0
21,Yulara,AU,2022-02-01 01:03:38,-25.2406,130.9889,69.64,100,100,14.97
22,Mataura,NZ,2022-02-01 01:03:38,-46.1927,168.8643,75.47,49,100,1.86
23,Port Blair,IN,2022-02-01 01:03:38,11.6667,92.75,73.02,73,22,6.22
24,Minapasuk,PH,2022-02-01 01:03:39,10.6988,123.3536,77.5,82,84,8.32
25,Kapaa,US,2022-02-01 00:59:44,22.0752,-159.319,77.11,59,100,1.01
26,Longyearbyen,SJ,2022-02-01 01:03:39,78.2186,15.6401,13.84,73,75,8.05
27,Hilo,US,2022-02-01 01:03:40,19.7297,-155.09,78.53,67,40,11.5
28,Sisimiut,GL,2022-02-01 01:03:40,66.9395,-53.6735,6.06,88,100,5.73
29,Ixtapa,MX,2022-02-01 01:03:41,20.7,-105.2,74.43,78,0,12.66
30,Chato,TZ,2022-02-01 01:03:41,-2.6378,31.7669,63.61,86,100,3.04
31,Shenjiamen,CN,2022-02-01 00:57:52,29.9576,122.298,44.13,65,100,11.27
32,Westport,US,2022-02-01 01:02:00,41.1415,-73.3579,24.93,67,0,1.99
33,Qaanaaq,GL,2022-02-01 01:03:42,77.484,-69.3632,-21.8,52,0,12.19
34,Bang Saphan,TH,2022-02-01 01:03:42,11.2126,99.5117,76.15,86,16,0.78
35,Atuona,PF,2022-02-01 01:03:43,-9.8,-139.0333,78.48,77,12,18.28
36,Rikitea,PF,2022-02-01 01:03:43,-23.1203,-134.9692,78.15,67,99,5.32
37,Balykshi,KZ,2022-02-01 01:03:43,47.0667,51.8667,30.2,93,75,6.71
38,Bluff,NZ,2022-02-01 01:03:44,-46.6,168.3333,75.79,78,100,6.02
39,Ternate,ID,2022-02-01 01:03:44,0.8,127.4,82.27,72,97,5.95
40,Urusha,RU,2022-02-01 01:03:45,54.05,122.9,-5.76,84,75,3.83
41,Fukue,JP,2022-02-01 01:03:45,32.6881,128.8419,49.21,62,100,20.76
42,Mar Del Plata,AR,2022-02-01 01:00:29,-38.0023,-57.5575,64.87,56,9,1.01
43,Tuy Hoa,VN,2022-02-01 00:50:54,13.0833,109.3,75.52,88,55,9.01
44,Cedar City,US,2022-02-01 01:03:46,37.6775,-113.0619,42.4,28,0,9.22
45,Dubbo,AU,2022-02-01 01:03:46,-32.25,148.6167,80.73,69,100,8.05
46,Lagoa,PT,2022-02-01 01:03:47,39.05,-27.9833,58.75,76,13,22.86
47,Eureka,US,2022-02-01 01:01:58,40.8021,-124.1637,49.68,77,100,11.01
48,Mahebourg,MU,2022-02-01 01:03:48,-20.4081,57.7,79.25,71,100,23.62
49,Ponta Do Sol,PT,2022-02-01 01:03:49,32.6667,-17.1,66.0,84,24,13.0
50,Hasaki,JP,2022-02-01 01:03:49,35.7333,140.8333,45.28,37,100,1.86
51,Mali,GN,2022-02-01 01:03:50,12.079,-12.2982,64.04,15,18,1.95
52,Maumere,ID,2022-02-01 01:03:50,-8.6199,122.2111,82.63,77,88,13.4
53,Taoudenni,ML,2022-02-01 01:03:50,22.6783,-3.9836,66.52,8,0,11.63
54,Jamestown,US,2022-02-01 01:00:05,42.097,-79.2353,15.71,94,60,4.03
55,Boissevain,CA,2022-02-01 01:03:51,49.2306,-100.0559,31.64,94,100,16.02
56,Bingerville,CI,2022-02-01 01:02:33,5.3584,-3.8869,79.74,100,75,1.14
57,South River,US,2022-02-01 01:00:00,40.4465,-74.386,28.85,72,64,4.65
58,Busselton,AU,2022-02-01 01:03:52,-33.65,115.3333,67.08,46,0,17.56
59,Narayangarh,IN,2022-02-01 01:03:52,30.4833,77.1333,49.57,68,0,3.8
60,Paldiski,EE,2022-02-01 01:03:53,59.3567,24.0531,25.05,86,100,4.61
61,Illapel,CL,2022-02-01 01:03:53,-31.6308,-71.1653,67.91,69,60,2.82
62,Bathsheba,BB,2022-02-01 01:03:54,13.2167,-59.5167,79.41,78,75,12.66
63,Georgetown,MY,2022-02-01 00:59:53,5.4112,100.3354,80.53,87,20,1.99
64,Niquero,CU,2022-02-01 01:03:54,20.0431,-77.5828,72.46,74,44,22.15
65,Bethel,US,2022-02-01 01:03:55,41.3712,-73.414,22.71,63,0,0.0
66,Bestobe,KZ,2022-02-01 01:03:55,52.4994,73.0975,12.61,88,100,15.5
67,Sain Alto,MX,2022-02-01 01:03:55,23.5833,-103.25,58.98,19,2,12.03
68,Albany,US,2022-02-01 01:03:56,42.6001,-73.9662,18.91,64,9,2.15
69,Teya,RU,2022-02-01 01:03:14,60.3778,92.6267,-6.83,99,87,3.38
70,Sheopur,IN,2022-02-01 01:03:56,25.6667,76.7,57.16,51,0,2.46
71,Salalah,OM,2022-02-01 01:03:10,17.0151,54.0924,68.09,64,0,2.3
72,Port Alfred,ZA,2022-02-01 01:03:57,-33.5906,26.891,74.71,96,100,3.98
73,North Platte,US,2022-02-01 01:00:06,41.1239,-100.7654,49.32,30,0,4.0
74,Praxedis Guerrero,MX,2022-02-01 01:03:57,31.3667,-106.0167,60.57,28,46,8.52
75,Muros,ES,2022-02-01 01:03:58,42.7762,-9.0603,51.1,75,0,13.09
76,Vaini,TO,2022-02-01 01:03:58,-21.2,-175.2,86.16,79,75,11.5
77,Benoni,ZA,2022-02-01 01:03:59,-26.1885,28.3208,60.6,92,93,4.56
78,Saint-Philippe,RE,2022-02-01 01:03:59,-21.3585,55.7679,78.39,79,100,14.9
79,Zambezi,ZM,2022-02-01 01:02:15,-13.5432,23.1047,63.97,98,100,2.66
80,Banda Aceh,ID,2022-02-01 01:04:00,5.5577,95.3222,78.13,82,100,7.74
81,Asau,RO,2022-02-01 01:04:00,46.4333,26.4,30.4,86,100,3.78
82,Kutum,SD,2022-02-01 01:04:00,14.2,24.6667,48.16,28,1,7.67
83,Clyde River,CA,2022-02-01 01:04:01,70.4692,-68.5914,-25.73,83,100,4.7
84,Gat,IL,2022-02-01 01:00:05,31.61,34.7642,52.39,100,75,7.94
85,Thinadhoo,MV,2022-02-01 01:04:01,0.5333,72.9333,82.6,69,42,11.01
86,Saint George,US,2022-02-01 01:00:27,37.1041,-113.5841,54.25,21,0,1.01
87,Pasni,PK,2022-02-01 01:04:02,25.2631,63.471,72.14,41,0,12.97
88,Port Elizabeth,ZA,2022-02-01 01:04:03,-33.918,25.5701,73.09,94,100,5.75
89,Butaritari,KI,2022-02-01 01:00:38,3.0707,172.7902,81.61,78,100,12.8
90,Muzhi,RU,2022-02-01 00:54:06,65.3667,64.6667,-19.84,100,41,3.18
91,Camargo,MX,2022-02-01 01:04:04,27.6667,-105.1667,61.16,19,0,8.9
92,Norman Wells,CA,2022-02-01 01:00:53,65.282,-126.8329,2.05,94,100,13.2
93,Arraial Do Cabo,BR,2022-02-01 01:04:05,-22.9661,-42.0278,75.06,94,0,5.75
94,Barrow,US,2022-02-01 01:04:06,71.2906,-156.7887,-16.58,83,75,9.22
95,Boende,CD,2022-02-01 01:04:06,-0.2167,20.8667,71.53,71,100,2.01
96,Plettenberg Bay,ZA,2022-02-01 01:04:06,-34.0527,23.3716,73.78,78,100,3.6
97,Lazaro Cardenas,MX,2022-02-01 00:55:21,17.9583,-102.2,76.44,70,0,7.2
98,Chabahar,IR,2022-02-01 01:04:07,25.2919,60.643,71.1,71,0,3.62
99,Olinda,BR,2022-02-01 01:04:07,-8.0089,-34.8553,80.33,83,40,3.44
100,Innisfail,AU,2022-02-01 01:04:08,-17.5333,146.0333,84.99,64,40,6.26
101,Yomou,GN,2022-02-01 01:04:08,7.5603,-9.2653,65.01,30,48,0.89
102,Victoria,HK,2022-02-01 01:03:26,22.2855,114.1577,58.95,90,100,1.01
103,Hermanus,ZA,2022-02-01 01:04:09,-34.4187,19.2345,73.9,89,2,8.72
104,Puerto Ayora,EC,2022-02-01 01:04:09,-0.7393,-90.3518,74.55,94,84,5.48
105,Port Lincoln,AU,2022-02-01 01:04:10,-34.7333,135.8667,65.53,56,26,20.65
106,Mogadishu,SO,2022-02-01 01:00:31,2.0371,45.3438,77.05,84,100,14.54
107,Saskylakh,RU,2022-02-01 01:04:10,71.9167,114.0833,-28.82,100,64,2.06
108,Matara,LK,2022-02-01 01:04:10,5.9485,80.5353,72.88,89,39,9.42
109,Minot,US,2022-02-01 01:04:11,48.2325,-101.2963,39.42,70,20,20.71
110,Biak,ID,2022-02-01 01:04:11,-0.9131,122.8766,82.78,62,99,1.88
111,Haines Junction,CA,2022-02-01 01:04:12,60.7522,-137.5108,-14.22,100,7,0.87
112,Nioro,GM,2022-02-01 01:04:12,13.35,-15.75,79.11,24,57,3.38
113,Zhigansk,RU,2022-02-01 01:04:13,66.7697,123.3711,-30.48,98,91,7.34
114,Poronaysk,RU,2022-02-01 01:04:13,49.2167,143.1167,14.32,73,96,9.73
115,Ordzhonikidze,KZ,2022-02-01 01:04:13,52.4411,61.7408,15.67,94,100,7.34
116,Berezovyy,RU,2022-02-01 01:04:14,51.6667,135.7,5.2,89,96,2.15
117,Hervey Bay,AU,2022-02-01 01:04:14,-25.2986,152.8535,89.71,74,70,12.1
118,Emerald,AU,2022-02-01 01:04:14,-23.5333,148.1667,93.34,42,79,8.77
119,Leiyang,CN,2022-02-01 01:04:15,26.4024,112.8591,38.66,96,100,3.67
120,Yarkovo,RU,2022-02-01 01:04:15,57.4028,67.0786,-6.32,100,58,3.0
121,Tazovskiy,RU,2022-02-01 01:04:16,67.4667,78.7,0.32,98,100,5.03
122,Hobyo,SO,2022-02-01 01:04:16,5.3505,48.5268,77.02,82,58,13.18
123,Isangel,VU,2022-02-01 01:04:16,-19.55,169.2667,78.87,88,100,9.69
124,Puerto Leguizamo,CO,2022-02-01 01:00:24,-0.1934,-74.7819,77.14,57,93,2.46
125,Hithadhoo,MV,2022-02-01 01:04:17,-0.6,73.0833,82.35,73,22,11.05
126,Gubkinskiy,RU,2022-02-01 01:04:17,64.434,76.5026,1.85,97,89,8.46
127,Armacao De Pera,PT,2022-02-01 01:04:18,37.1026,-8.357,51.71,48,0,6.53
128,Talakan,RU,2022-02-01 01:04:18,50.3167,130.3667,-8.03,97,98,2.37
129,Ambulu,ID,2022-02-01 01:04:19,-8.345,113.6058,81.43,77,100,2.28
130,Tall Kayf,TR,2022-02-01 01:04:19,37.0833,41.0667,39.27,71,65,4.63
131,Raga,SS,2022-02-01 01:00:21,8.4596,25.678,67.41,19,9,7.31
132,Hun,LY,2022-02-01 01:04:20,29.1268,15.9477,50.83,42,6,9.53
133,Upernavik,GL,2022-02-01 01:04:20,72.7868,-56.1549,-16.76,97,100,7.56
134,Tingo Maria,PE,2022-02-01 01:04:20,-9.2895,-76.0088,69.8,97,100,1.86
135,Ust-Uda,RU,2022-02-01 01:04:21,54.1742,103.0304,-16.8,100,100,1.03
136,Awjilah,LY,2022-02-01 01:04:21,29.1081,21.2869,52.63,66,0,9.66
137,Tasiilaq,GL,2022-02-01 01:04:22,65.6145,-37.6368,10.56,95,93,6.73
138,Annau,TM,2022-02-01 01:04:22,37.8876,58.516,45.82,33,54,4.09
139,Goya,AR,2022-02-01 01:04:22,-29.14,-59.2626,80.58,39,0,7.9
140,Kirakira,SB,2022-02-01 01:04:23,-10.4544,161.9205,84.92,72,82,5.57
141,New Norfolk,AU,2022-02-01 01:00:45,-42.7826,147.0587,81.9,32,27,5.01
142,San Patricio,US,2022-02-01 01:04:23,28.017,-97.5169,66.88,97,100,10.76
143,Solnechnyy,RU,2022-02-01 01:04:25,50.7214,136.6319,2.43,93,98,2.17
